"Gender","player","id","elo_name","lastname_initial"
"W","anhelina kalinina",36,"Anhelina Kalinina","Kalinina A."
"W","sara sorribes tormo",37,"Sara Sorribes Tormo","Tormo S.S."
"W","naomi osaka",38,"Naomi Osaka","Osaka N."
"W","alizé cornet",39,"Alize Cornet","Cornet A."
"W","yulia putintseva",40,"Yulia Putintseva","Putintseva Y."
"W","ajla tomljanovic",41,"Ajla Tomljanovic","Tomljanovic A."
"W","shuai zhang",42,"Shuai Zhang","Zhang S."
"W","alison riske",43,"Alison Riske","Riske A."
"W","clara tauson",44,"Clara Tauson","Tauson C."
"W","katerina siniakova",45,"Katerina Siniakova","Siniakova K."
"W","kaia kanepi",46,"Kaia Kanepi","Kanepi K."
"W","petra martic",47,"Petra Martic","Martic P."
"W","shelby rogers",48,"Shelby Rogers","Rogers S."
"W","sloane stephens",49,"Sloane Stephens","Stephens S."
"W","aliaksandra sasnovich",50,"Aliaksandra Sasnovich","Sasnovich A."
"W","nuria parrizas diaz",51,"Nuria Parrizas Diaz","Diaz N.P."
"W","beatriz haddad maia",52,"Beatriz Haddad Maia","Maia B.H."
"W","tereza martincova",53,"Tereza Martincova","Martincova T."
"W","magda linette",54,"Magda Linette","Linette M."
"W","jasmine paolini",55,"Jasmine Paolini","Paolini J."
"W","viktorija golubic",56,"Viktorija Golubic","Golubic V."
"W","elena-gabriela ruse",57,"Elena Gabriela Ruse","Ruse E.G."
"W","camila osorio",58,"Camila Osorio","Osorio C."
"W","marta kostyuk",59,"Marta Kostyuk","Kostyuk M."
"W","alison van uytvanck",60,"Alison Van Uytvanck","Uytvanck A.V."
"W","madison brengle",61,"Madison Brengle","Brengle M."
"W","mayar sherif",62,"Mayar Sherif","Sherif M."
"W","irina-camelia begu",63,"Irina Camelia Begu","Begu I.C."
"W","andrea petkovic",64,"Andrea Petkovic","Petkovic A."
"W","ann li",65,"Ann Li","Li A."
"W","maryna zanevska",66,"Maryna Zanevska","Zanevska M."
"W","ana konjuh",67,"Ana Konjuh","Konjuh A."
"W","marie bouzkova",68,"Marie Bouzkova","Bouzkova M."
"W","anna bondar",69,"Anna Bondar","Bondar A."
"W","jaqueline cristian",70,"Jaqueline Cristian","Cristian J."
"W","caroline garcia",71,"Caroline Garcia","Garcia C."
"W","varvara gracheva",72,"Varvara Gracheva","Gracheva V."
"W","qinwen zheng",73,"Qinwen Zheng","Zheng Q."
"W","arantxa rus",74,"Arantxa Rus","Rus A."
"W","anna kalinskaya",75,"Anna Kalinskaya","Kalinskaya A."
"W","anastasia potapova",76,"Anastasia Potapova","Potapova A."
"W","rebecca peterson",77,"Rebecca Peterson","Peterson R."
"W","karolina muchova",78,"Karolina Muchova","Muchova K."
"W","lucia bronzetti",79,"Lucia Bronzetti","Bronzetti L."
"W","dayana yastremska",80,"Dayana Yastremska","Yastremska D."
"W","greet minnen",81,"Greet Minnen","Minnen G."
"W","martina trevisan",82,"Martina Trevisan","Trevisan M."
"W","clara burel",83,"Clara Burel","Burel C."
"W","panna udvardy",84,"Panna Udvardy","Udvardy P."
"W","kaja juvan",85,"Kaja Juvan","Juvan K."
"W","kristina kucova",86,"Kristina Kucova","Kucova K."
"W","magdalena frech",87,"Magdalena Frech","Frech M."
"W","anna karolina schmiedlova",88,"Anna Karolina Schmiedlova","Schmiedlova A.K."
"W","xinyu wang",89,"Xin Yu Wang","Wang X.Y."
"W","bianca andreescu",90,"Bianca Andreescu","Andreescu B."
"W","danka kovinic",91,"Danka Kovinic","Kovinic D."
"W","dalma galfi",92,"Dalma Galfi","Galfi D."
"W","oceane dodin",93,"Oceane Dodin","Dodin O."
"W","jule niemeier",94,"Jule Niemeier","Niemeier J."
"W","ana bogdan",95,"Ana Bogdan","Bogdan A."
"W","diane parry",96,"Diane Parry","Parry D."
"W","misaki doi",97,"Misaki Doi","Doi M."
"W","qiang wang",98,"Qiang Wang","Wang Q."
"W","lin zhu",99,"Lin Zhu","Zhu L."
"M","novak djokovic",1,"Novak Djokovic","Djokovic N."
"M","daniil medvedev",2,"Daniil Medvedev","Medvedev D."
"M","alexander zverev",3,"Alexander Zverev","Zverev A."
"M","rafael nadal",4,"Rafael Nadal","Nadal R."
"M","stefanos tsitsipas",5,"Stefanos Tsitsipas","Tsitsipas S."
"M","carlos alcaraz",6,"Carlos Alcaraz","Alcaraz C."
"M","andrey rublev",7,"Andrey Rublev","Rublev A."
"M","matteo berrettini",8,"Matteo Berrettini","Berrettini M."
"M","felix auger-aliassime",9,"Felix Auger Aliassime","Aliassime F.A."
"M","casper ruud",10,"Casper Ruud","Ruud C."
"M","cameron norrie",11,"Cameron Norrie","Norrie C."
"M","hubert hurkacz",12,"Hubert Hurkacz","Hurkacz H."
"M","jannik sinner",13,"Jannik Sinner","Sinner J."
"M","taylor fritz",14,"Taylor Fritz","Fritz T."
"M","diego schwartzman",15,"Diego Schwartzman","Schwartzman D."
"M","denis shapovalov",16,"Denis Shapovalov","Shapovalov D."
"M","reilly opelka",17,"Reilly Opelka","Opelka R."
"M","pablo carreno busta",18,"Pablo Carreno Busta","Busta P.C."
"M","roberto bautista agut",19,"Roberto Bautista Agut","Agut R.B."
"M","grigor dimitrov",20,"Grigor Dimitrov","Dimitrov G."
"M","gael monfils",21,"Gael Monfils","Monfils G."
"M","alex de minaur",22,"Alex De Minaur","Minaur A.D."
"M","marin cilic",23,"Marin Cilic","Cilic M."
"M","karen khachanov",24,"Karen Khachanov","Khachanov K."
"M","nikoloz basilashvili",25,"Nikoloz Basilashvili","Basilashvili N."
"M","frances tiafoe",26,"Frances Tiafoe","Tiafoe F."
"M","john isner",27,"John Isner","Isner J."
"M","lorenzo sonego",28,"Lorenzo Sonego","Sonego L."
"M","alejandro davidovich fokina",29,"Alejandro Davidovich Fokina","Fokina A.D."
"M","sebastian korda",30,"Sebastian Korda","Korda S."
"M","miomir kecmanovic",31,"Miomir Kecmanovic","Kecmanovic M."
"M","botic van de zandschulp",32,"Botic Van De Zandschulp","Zandschulp B.V.D."
"M","daniel evans",33,"Daniel Evans","Evans D."
"M","tommy paul",34,"Tommy Paul","Paul T."
"M","aslan karatsev",35,"Aslan Karatsev","Karatsev A."
"M","lloyd harris",36,"Lloyd Harris","Harris L."
"M","sebastian baez",37,"Sebastian Baez","Baez S."
"M","jenson brooksby",38,"Jenson Brooksby","Brooksby J."
"M","federico delbonis",39,"Federico Delbonis","Delbonis F."
"M","pedro martinez",40,"Pedro Martinez","Martinez P."
"M","alexander bublik",41,"Alexander Bublik","Bublik A."
"M","holger rune",42,"Holger Rune","Rune H."
"M","albert ramos-vinolas",43,"Albert Ramos","Ramos A."
"M","ugo humbert",44,"Ugo Humbert","Humbert U."
"M","cristian garin",45,"Cristian Garin","Garin C."
"M","roger federer",46,NA,NA
"M","alex molcan",47,"Alex Molcan","Molcan A."
"M","david goffin",48,"David Goffin","Goffin D."
"M","francisco cerundolo",49,"Francisco Cerundolo","Cerundolo F."
"M","ilya ivashka",50,"Ilya Ivashka","Ivashka I."
"M","lorenzo musetti",51,"Lorenzo Musetti","Musetti L."
"M","marton fucsovics",52,"Marton Fucsovics","Fucsovics M."
"M","mackenzie mcdonald",53,"Mackenzie Mcdonald","Mcdonald M."
"M","filip krajinovic",54,"Filip Krajinovic","Krajinovic F."
"M","federico coria",55,"Federico Coria","Coria F."
"M","benjamin bonzi",56,"Benjamin Bonzi","Bonzi B."
"M","fabio fognini",57,"Fabio Fognini","Fognini F."
"M","oscar otte",58,"Oscar Otte","Otte O."
"M","laslo djere",59,"Laslo Djere","Djere L."
"M","marcos giron",60,"Marcos Giron","Giron M."
"M","emil ruusuvuori",61,"Emil Ruusuvuori","Ruusuvuori E."
"M","maxime cressy",62,"Maxime Cressy","Cressy M."
"M","arthur rinderknech",63,"Arthur Rinderknech","Rinderknech A."
"M","dusan lajovic",64,"Dusan Lajovic","Lajovic D."
"M","benoit paire",65,"Benoit Paire","Paire B."
"M","daniel altmaier",66,"Daniel Altmaier","Altmaier D."
"M","tallon griekspoor",67,"Tallon Griekspoor","Griekspoor T."
"M","hugo gaston",68,"Hugo Gaston","Gaston H."
"M","andy murray",69,"Andy Murray","Murray A."
"M","james duckworth",70,"James Duckworth","Duckworth J."
"M","adrian mannarino",71,"Adrian Mannarino","Mannarino A."
"M","soonwoo kwon",72,"Soon Woo Kwon","Kwon S.W."
"M","jiri vesely",73,"Jiri Vesely","Vesely J."
"M","kei nishikori",74,"Kei Nishikori","Nishikori K."
"M","dominik koepfer",75,"Dominik Koepfer","Koepfer D."
"M","brandon nakashima",76,"Brandon Nakashima","Nakashima B."
"M","richard gasquet",77,"Richard Gasquet","Gasquet R."
"M","nick kyrgios",78,"Nick Kyrgios","Kyrgios N."
"M","jiri lehecka",79,"Jiri Lehecka","Lehecka J."
"M","kamil majchrzak",80,"Kamil Majchrzak","Majchrzak K."
"M","hugo dellien",81,"Hugo Dellien","Dellien H."
"M","alejandro tabilo",82,"Alejandro Tabilo","Tabilo A."
"M","joao sousa",83,"Joao Sousa","Sousa J."
"M","denis kudla",84,"Denis Kudla","Kudla D."
"M","jordan thompson",85,"Jordan Thompson","Thompson J."
"M","pablo andujar",86,"Pablo Andujar","Andujar P."
"M","john millman",87,"John Millman","Millman J."
"M","thanasi kokkinakis",88,"Thanasi Kokkinakis","Kokkinakis T."
"M","carlos taberner",89,"Carlos Taberner","Taberner C."
"M","tomas martin etcheverry",90,"Tomas Martin Etcheverry","Etcheverry T.M."
"M","yoshihito nishioka",91,"Yoshihito Nishioka","Nishioka Y."
"M","steve johnson",92,"Steve Johnson","Johnson S."
"M","jan-lennard struff",93,"Jan Lennard Struff","Struff J.L."
"M","jaume munar",94,"Jaume Munar","Munar J."
"M","facundo bagnis",95,"Facundo Bagnis","Bagnis F."
"M","roberto carballes baena",96,"Roberto Carballes Baena","Baena R.C."
"M","henri laaksonen",97,"Henri Laaksonen","Laaksonen H."
"M","mikael ymer",98,"Mikael Ymer","Ymer M."
"M","peter gojowczyk",99,"Peter Gojowczyk","Gojowczyk P."
"W","kristina mladenovic",100,"Kristina Mladenovic","Mladenovic K."
"M","quentin halys",100,"Quentin Halys","Halys Q."
