WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,,,,
29,Nottingham,Nottingham Open,13/06/2019,International,Outdoor,Grass,2nd Round,3,Mladenovic K.,Sharma A.,48,94,1150,681,6,1,7,5,,,2,0,Completed,,,1.25,4.43,1.33,4.54,1.28,3.72,,,,
29,Nottingham,Nottingham Open,14/06/2019,International,Outdoor,Grass,Quarterfinals,3,Maria T.,Tomljanovic A.,56,47,1026,1168,6,3,7,6,,,2,0,Completed,2.75,1.44,2.94,1.47,2.94,1.51,2.75,1.45,,,,
29,Nottingham,Nottingham Open,14/06/2019,International,Outdoor,Grass,Quarterfinals,3,Vekic D.,Mladenovic K.,22,48,2110,1150,7,5,6,4,,,2,0,Completed,1.61,2.3,1.64,2.44,1.67,2.45,1.61,2.33,,,,
29,Nottingham,Nottingham Open,14/06/2019,International,Outdoor,Grass,Quarterfinals,3,Brady J.,Sakkari M.,80,33,753,1582,7,5,6,3,,,2,0,Completed,2.5,1.53,2.59,1.58,2.7,1.58,2.47,1.54,,,,
29,Nottingham,Nottingham Open,14/06/2019,International,Outdoor,Grass,Quarterfinals,3,Garcia C.,Ruse E.G.,28,211,1885,272,4,6,7,6,6,1,2,1,Completed,1.14,5.5,1.17,6.03,1.18,6.03,1.15,5.45,,,,
29,Nottingham,Nottingham Open,15/06/2019,International,Outdoor,Grass,Semifinals,3,Vekic D.,Maria T.,22,56,2110,1026,5,7,6,0,6,0,2,1,Completed,1.25,4,1.23,4.8,1.3,4.8,1.23,4.17,,,,
29,Nottingham,Nottingham Open,16/06/2019,International,Outdoor,Grass,Semifinals,3,Garcia C.,Brady J.,28,80,1885,753,4,6,6,3,6,3,2,1,Completed,1.66,2.2,1.63,2.47,1.69,2.47,1.62,2.29,,,,
29,Nottingham,Nottingham Open,16/06/2019,International,Outdoor,Grass,The Final,3,Garcia C.,Vekic D.,28,22,1885,2110,2,6,7,6,7,6,2,1,Completed,2.5,1.53,2.6,1.56,2.6,1.62,2.43,1.56,,,,
31,Birmingham,AEGON Classic ,18/06/2018,Premier,Outdoor,Grass,1st Round,3,Mladenovic K.,Siniakova K.,56,40,996,1190,1,6,6,2,6,4,2,1,Completed,1.83,1.83,1.86,1.84,2,1.8,1.99,1.9,2.1,1.97,1.94,1.87
31,Birmingham,AEGON Classic ,18/06/2018,Premier,Outdoor,Grass,1st Round,3,Gavrilova D.,Cibulkova D.,25,32,1810,1385,6,3,7,6,,,2,0,Completed,2.62,1.44,2.45,1.49,2.62,1.5,2.6,1.55,2.82,1.57,2.55,1.52
31,Birmingham,AEGON Classic ,18/06/2018,Premier,Outdoor,Grass,1st Round,3,Osaka N.,Boulter K.,18,139,2350,422,6,1,6,2,,,2,0,Completed,1.16,5,1.15,4.7,1.17,5,1.18,5.47,1.19,5.65,1.16,5.17
31,Birmingham,AEGON Classic ,18/06/2018,Premier,Outdoor,Grass,1st Round,3,Rybarikova M.,Pliskova Ka.,19,7,2145,4685,6,2,6,3,,,2,0,Completed,2.5,1.5,2.5,1.47,2.62,1.5,2.69,1.52,2.75,1.57,2.61,1.5
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Cornet A.,Makarova E.,41,34,1180,1330,5,7,6,4,6,1,2,1,Completed,2.5,1.5,2.4,1.51,2.37,1.57,2.52,1.58,2.61,1.6,2.48,1.54
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Goerges J.,Sakkari M.,13,35,3210,1324,6,4,6,4,,,2,0,Completed,1.5,2.5,1.48,2.47,1.53,2.5,1.53,2.65,1.54,2.7,1.51,2.57
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Svitolina E.,Vekic D.,5,55,5205,1010,6,1,3,6,6,1,2,1,Completed,1.36,3,1.37,2.85,1.4,3,1.4,3.19,1.44,3.26,1.39,3
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Jakupovic D.,Mertens E.,113,17,584,2635,3,6,7,6,6,1,2,1,Completed,3.5,1.28,3.4,1.27,3.75,1.28,3.74,1.31,4,1.33,3.62,1.29
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Tsurenko L.,Watson H.,37,86,1285,761,7,6,7,5,,,2,0,Completed,2.25,1.57,2.18,1.61,2.25,1.61,2.3,1.68,2.35,1.75,2.24,1.65
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Buzarnescu M.,Babos T.,30,36,1543,1300,6,3,4,6,6,0,2,1,Completed,2,1.72,1.94,1.77,2,1.8,2,1.89,2.3,1.91,2.02,1.8
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Kvitova P.,Konta J.,8,22,4610,2050,6,3,6,4,,,2,0,Completed,1.53,2.37,1.53,2.34,1.57,2.37,1.6,2.49,1.61,2.63,1.56,2.44
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Kasatkina D.,Pliskova Kr.,14,74,3125,845,3,6,7,5,6,4,2,1,Completed,1.9,1.8,1.87,1.84,1.91,1.91,1.95,1.93,2.08,1.97,1.94,1.87
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Martic P.,Vandeweghe C.,45,15,1130,2702,6,3,6,2,,,2,0,Completed,3.4,1.3,3.25,1.29,3.25,1.36,3.62,1.33,3.75,1.38,3.37,1.32
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Strycova B.,Brady J.,24,77,1830,812,3,6,7,5,6,3,2,1,Completed,1.33,3.25,1.3,3.2,1.4,3,1.34,3.54,1.4,3.58,1.34,3.28
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Muguruza G.,Pavlyuchenkova A.,3,28,6550,1596,6,1,6,2,,,2,0,Completed,1.22,4,1.26,3.55,1.28,3.75,1.29,3.94,1.3,4.2,1.27,3.8
31,Birmingham,AEGON Classic ,19/06/2018,Premier,Outdoor,Grass,1st Round,3,Barty A.,Dodin O.,16,179,2640,319,6,4,6,3,,,2,0,Completed,1.14,5.5,1.08,6.4,1.17,5,1.12,7.14,1.16,7.95,1.11,6.56
31,Birmingham,AEGON Classic ,20/06/2018,Premier,Outdoor,Grass,2nd Round,3,Rybarikova M.,Mladenovic K.,19,56,2145,996,3,6,6,2,6,1,2,1,Completed,1.36,3,1.41,2.7,1.4,3,1.44,3.02,1.47,3.02,1.43,2.83
31,Birmingham,AEGON Classic ,20/06/2018,Premier,Outdoor,Grass,2nd Round,3,Jakupovic D.,Osaka N.,113,18,584,2350,6,3,,,,,1,0,Retired,4,1.22,4.1,1.2,4,1.25,4.49,1.25,4.8,1.25,4.33,1.22
31,Birmingham,AEGON Classic ,20/06/2018,Premier,Outdoor,Grass,2nd Round,3,Svitolina E.,Cornet A.,5,41,5205,1180,6,4,6,2,,,2,0,Completed,1.2,4.33,1.2,4.1,1.22,4.33,1.21,5,1.24,5,1.2,4.53
31,Birmingham,AEGON Classic ,20/06/2018,Premier,Outdoor,Grass,2nd Round,3,Buzarnescu M.,Martic P.,30,45,1543,1130,4,6,6,3,6,2,2,1,Completed,2.1,1.66,2.08,1.67,2.2,1.67,2.2,1.76,2.21,1.8,2.15,1.7
31,Birmingham,AEGON Classic ,21/06/2018,Premier,Outdoor,Grass,2nd Round,3,Kvitova P.,Gavrilova D.,8,25,4610,1810,6,2,6,2,,,2,0,Completed,1.16,5,1.13,5,1.2,4.5,1.17,5.98,1.21,6.2,1.16,5.33
31,Birmingham,AEGON Classic ,21/06/2018,Premier,Outdoor,Grass,2nd Round,3,Strycova B.,Muguruza G.,24,3,1830,6550,6,2,6,4,,,2,0,Completed,3.5,1.28,3.4,1.27,3.75,1.28,4.01,1.29,4.01,1.33,3.61,1.29
31,Birmingham,AEGON Classic ,21/06/2018,Premier,Outdoor,Grass,2nd Round,3,Goerges J.,Barty A.,13,16,3210,2640,7,6,6,3,,,2,0,Completed,2.62,1.44,2.65,1.43,2.75,1.44,2.87,1.48,2.9,1.5,2.77,1.45
31,Birmingham,AEGON Classic ,21/06/2018,Premier,Outdoor,Grass,2nd Round,3,Tsurenko L.,Kasatkina D.,37,14,1285,3125,1,6,6,3,6,3,2,1,Completed,2.5,1.5,2.55,1.45,2.37,1.57,2.75,1.51,2.85,1.65,2.54,1.53
31,Birmingham,AEGON Classic ,22/06/2018,Premier,Outdoor,Grass,Quarterfinals,3,Rybarikova M.,Jakupovic D.,19,113,2145,584,6,2,6,4,,,2,0,Completed,1.25,4,1.24,3.65,1.25,4,1.27,4.35,1.3,4.35,1.26,3.94
31,Birmingham,AEGON Classic ,22/06/2018,Premier,Outdoor,Grass,Quarterfinals,3,Strycova B.,Tsurenko L.,24,37,1830,1285,7,5,3,0,,,1,0,Retired,1.57,2.37,1.5,2.41,1.5,2.5,1.56,2.64,1.61,2.65,1.54,2.5
31,Birmingham,AEGON Classic ,22/06/2018,Premier,Outdoor,Grass,Quarterfinals,3,Kvitova P.,Goerges J.,8,13,4610,3210,6,1,6,4,,,2,0,Completed,1.3,3.5,1.31,3.2,1.33,3.4,1.33,3.71,1.39,3.71,1.33,3.35
31,Birmingham,AEGON Classic ,22/06/2018,Premier,Outdoor,Grass,Quarterfinals,3,Buzarnescu M.,Svitolina E.,30,5,1543,5205,6,3,6,2,,,2,0,Completed,4,1.25,3.45,1.26,3.75,1.28,3.84,1.32,4,1.32,3.75,1.28
31,Birmingham,AEGON Classic ,23/06/2018,Premier,Outdoor,Grass,Semifinals,3,Rybarikova M.,Strycova B.,19,24,2145,1830,7,6,6,4,,,2,0,Completed,1.8,2,1.78,1.93,1.8,2,1.85,2.08,1.94,2.08,1.84,1.99
31,Birmingham,AEGON Classic ,23/06/2018,Premier,Outdoor,Grass,Semifinals,3,Kvitova P.,Buzarnescu M.,8,30,4610,1543,6,3,6,2,,,2,0,Completed,1.2,4.5,1.17,4.5,1.2,4.5,1.2,5.45,1.24,5.6,1.19,4.86
31,Birmingham,AEGON Classic ,24/06/2018,Premier,Outdoor,Grass,The Final,3,Kvitova P.,Rybarikova M.,8,19,4610,2145,4,6,6,1,6,2,2,1,Completed,1.28,3.75,1.25,3.55,1.28,3.75,1.27,4.3,1.3,4.4,1.26,3.9
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Kontaveit A.,Dart H.,20,170,2335,354,3,6,6,4,6,2,2,1,Completed,1.2,4.33,1.23,4.57,1.25,4.8,1.22,4.28,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Zhang S.,Swan K.,51,207,1120,274,7,6,4,6,6,4,2,1,Completed,1.53,2.37,1.68,2.3,1.68,2.5,1.6,2.33,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Cornet A.,Watson H.,55,122,1070,531,7,5,6,2,,,2,0,Completed,1.66,2.1,1.79,2.12,1.8,2.2,1.73,2.09,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Gasparyan M.,Siniakova K.,61,38,929,1387,6,3,6,3,,,2,0,Completed,1.83,1.83,2.08,1.83,2.45,1.92,2,1.8,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Peterson R.,Sasnovich A.,66,37,842,1490,4,6,6,3,6,2,2,1,Completed,2.25,1.57,2.27,1.7,2.36,1.87,2.24,1.65,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Alexandrova E.,Tomljanovic A.,52,49,1118,1150,6,2,7,6,,,2,0,Completed,2,1.72,2.08,1.83,2.1,1.87,2.01,1.79,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Konta J.,Yastremska D.,19,36,2430,1504,6,2,6,4,,,2,0,Completed,1.53,2.37,1.51,2.73,1.58,2.75,1.5,2.57,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Sakkari M.,Pegula J.,32,74,1641,801,6,2,6,1,,,2,0,Completed,1.5,2.5,1.62,2.43,1.65,2.56,1.56,2.42,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Friedsam A.L.,Ferro F.,356,99,117,649,6,2,6,2,,,2,0,Completed,2.2,1.61,2.23,1.72,2.33,1.75,2.19,1.67,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Petkovic A.,Kasatkina D.,70,30,825,1790,5,7,6,4,6,2,2,1,Completed,2.62,1.44,2.74,1.51,2.8,1.53,2.6,1.49,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Mertens E.,Puig M.,21,53,2195,1113,6,4,7,6,,,2,0,Completed,1.44,2.62,1.47,2.85,1.55,2.85,1.48,2.64,,,,
32,Eastbourne,Eastbourne International,23/06/2019,Premier,Outdoor,Grass,1st Round,3,Parmentier P.,Linette M.,82,75,724,800,7,6,2,6,6,4,2,1,Completed,3,1.36,,,3.1,1.52,2.91,1.4,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Putintseva Y.,Collins D.,39,34,1350,1572,5,0,,,,,0,0,Retired,1.53,2.37,1.57,2.54,1.62,2.7,1.57,2.4,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Jabeur O.,Rodina E.,62,73,885,805,1,6,7,6,7,5,2,1,Completed,1.5,2.5,1.59,2.49,1.66,2.56,1.55,2.44,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Vondrousova M.,Zheng S.,16,43,2745,1210,6,2,6,3,,,2,0,Completed,1.25,3.75,1.25,4.34,1.32,4.34,1.26,3.87,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Ostapenko J.,Buzarnescu M.,35,47,1531,1160,6,4,6,4,,,2,0,Completed,1.36,3,1.43,3.03,1.45,3.12,1.41,2.92,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Zidansek T.,Suarez Navarro C.,59,31,950,1732,4,6,7,5,7,5,2,1,Completed,2.62,1.44,2.78,1.5,2.81,1.53,2.67,1.47,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Hsieh S.W.,Giorgi C.,29,41,1885,1332,6,3,4,6,6,4,2,1,Completed,1.36,3,1.48,2.84,1.49,3.07,1.43,2.8,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Gavrilova D.,Golubic V.,78,83,762,723,6,0,6,7,7,6,2,1,Completed,,,2.09,1.8,2.2,1.94,2.04,1.77,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,1st Round,3,Wozniacki C.,Flipkens K.,14,81,2833,730,6,3,6,4,,,2,0,Completed,1.53,2.37,1.54,2.62,1.57,2.65,1.53,2.48,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,1st Round,3,Bencic B.,Kudermetova V.,13,58,3073,971,6,3,6,4,,,2,0,Completed,1.66,2.1,1.79,2.13,1.8,2.2,1.72,2.11,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,1st Round,3,Stosur S.,Kenin S.,132,28,479,1895,6,2,6,3,,,2,0,Completed,2.5,1.5,2.83,1.48,2.83,1.54,2.59,1.49,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,1st Round,3,Tsurenko L.,Diyas Z.,33,89,1587,700,6,2,6,2,,,2,0,Completed,,,2.11,1.79,2.15,1.95,1.94,1.86,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,1st Round,3,Hercog P.,Strycova B.,60,50,929,1125,7,6,0,1,,,1,0,Retired,3.25,1.33,3.51,1.34,3.55,1.37,3.21,1.34,,,,
32,Eastbourne,Eastbourne International,24/06/2019,Premier,Outdoor,Grass,2nd Round,3,Pliskova Ka.,Gasparyan M.,3,61,5685,929,6,3,6,3,,,2,0,Completed,1.25,3.75,1.3,3.82,1.32,4,1.27,3.72,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Bertens K.,Putintseva Y.,4,39,5425,1350,6,4,6,1,,,2,0,Completed,1.28,3.5,1.41,3.14,1.43,3.56,1.36,3.15,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Jabeur O.,Minella M.,62,98,885,650,2,6,6,2,6,1,2,1,Completed,1.36,3,1.38,3.26,1.42,3.3,1.37,3.06,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Cornet A.,Svitolina E.,55,8,1070,3868,6,3,7,6,,,2,0,Completed,2.5,1.5,2.6,1.55,2.66,1.57,2.53,1.52,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Friedsam A.L.,Kontaveit A.,356,20,117,2335,6,3,6,4,,,2,0,Completed,3,1.36,3.34,1.37,3.34,1.41,3.02,1.38,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Mertens E.,Vondrousova M.,21,16,2195,2745,6,1,5,7,6,2,2,1,Completed,1.83,1.83,1.91,1.98,1.96,2,1.87,1.93,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Zhang S.,Gavrilova D.,51,78,1120,762,6,3,6,1,,,2,0,Completed,2.2,1.61,2.42,1.63,2.45,1.67,2.31,1.61,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Konta J.,Sakkari M.,19,32,2430,1641,6,4,7,6,,,2,0,Completed,1.36,3,1.42,3.09,1.44,3.2,1.39,2.99,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Peterson R.,Tsurenko L.,66,33,842,1587,7,6,6,4,,,2,0,Completed,1.8,1.9,1.97,1.9,2,2,1.89,1.91,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Sabalenka A.,Zidansek T.,10,59,3565,950,6,2,6,3,,,2,0,Completed,1.28,3.5,1.33,3.58,1.37,3.58,1.32,3.35,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Kerber A.,Stosur S.,5,132,4685,479,6,4,6,4,,,2,0,Completed,1.18,4.5,1.15,6.17,1.18,6.32,1.16,5.28,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Hercog P.,Parmentier P.,60,82,929,724,2,6,6,2,7,6,2,1,Completed,1.28,3.5,1.26,4.2,1.38,4.25,1.29,3.57,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Ostapenko J.,Stephens S.,35,9,1531,3682,1,6,6,0,6,3,2,1,Completed,1.61,2.2,1.73,2.22,2.15,2.27,1.69,2.16,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Halep S.,Hsieh S.W.,7,29,3963,1885,6,2,6,0,,,2,0,Completed,1.4,2.75,1.48,2.83,1.51,3,1.45,2.72,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Alexandrova E.,Bencic B.,52,13,1118,3073,6,7,6,2,6,3,2,1,Completed,2.75,1.4,2.85,1.47,3,1.5,2.77,1.44,,,,
32,Eastbourne,Eastbourne International,25/06/2019,Premier,Outdoor,Grass,2nd Round,3,Wozniacki C.,Petkovic A.,14,70,2833,825,6,4,6,4,,,2,0,Completed,1.22,4,1.28,4.02,1.29,4.65,1.25,3.95,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Jabeur O.,Konta J.,62,19,885,2430,6,3,6,2,,,2,0,Completed,6,1.12,7.4,1.12,7.5,1.15,6.41,1.12,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Cornet A.,Zhang S.,55,51,1070,1120,6,2,6,2,,,2,0,Completed,1.53,2.5,1.53,2.68,1.56,2.7,1.52,2.52,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Kerber A.,Peterson R.,5,66,4685,842,7,6,6,0,,,2,0,Completed,1.2,4.5,1.21,5.01,1.24,5.05,1.19,4.63,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Pliskova Ka.,Mertens E.,3,21,5685,2195,6,1,6,2,,,2,0,Completed,1.44,2.75,1.5,2.81,1.51,2.81,1.47,2.66,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Halep S.,Hercog P.,7,60,3963,929,6,1,4,6,6,3,2,1,Completed,1.11,6.5,1.14,6.96,1.17,6.96,1.13,5.94,,,,
32,Eastbourne,Eastbourne International,26/06/2019,Premier,Outdoor,Grass,3rd Round,3,Alexandrova E.,Ostapenko J.,52,35,1118,1531,6,3,2,1,,,1,0,Retired,2.62,1.5,2.57,1.57,2.63,1.61,2.53,1.52,,,,
